Customer,Email,Phone,Shipping Address,Total Orders,Total Spent
Julia,julia@gmail.com,66998877,"N/A, Mueang Chiang Mai, Chiang Mai, 50000, Thailand",1,$1252.00
Leo,leo@gmail.com,66998878,"N/A, N/A, N/A, 3000, USA",2,$392.00
Trevor,trevor@gta.com,66998879,"N/A, Los Santos, N/A, N/A, USA",1,$156.00
Mike,mike@gmail.com,188888,"N/A, Los Santos, N/A, 40000, USA",1,$213.00
Mary,mary@gmail.com,6699999,"N/A, Mueang, Chiang Mai, 50000, Thailand",1,$56.00
Avril,avril@vistas.com,66998882,"N/A, New York, NY, N/A, USA",2,$75.00
Justin Bieber,jbieber@music.com,66998883,"100 Bay St, Toronto, ON, M5J 2N8, Canada",1,$45.00
AvrilLwin,lwin@vistas.com,66998884,"Huay Kaew Road, Mueang Chiang Mai, Chiang Mai, 50300, Thailand",0,$0.00
Franklin,franklin@gta.com,66998885,"N/A, N/A, N/A, N/A, USA",0,$0.00
Jeneffer,jeneffer@gmail.com,66998886,"N/A, N/A, N/A, N/A, USA",1,$70.00
Michael Decenta,michael@decenta.com,66998887,"N/A, Los Santos, N/A, N/A, USA",0,$0.00
Haily,haily@gmail.com,66998888,"N/A, N/A, N/A, 4000, USA",1,$210.00
